Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;Вес;Высота;Диаметр;Ткань;Предназначение;Наполнитель;"Количество наполнителя";"Объемный вес для транспортных компаний";"Производство ";Серия;Диагональ;"Тип экрана";"Разрешение экрана";Система;"Количество ядер";Процессор;"Частота процессора";"Оперативная память";"Встроенная память";"Поддержка SD карт";Sim-карт;"Размеры SIM";"GSM (2G)";3G;"LTE (4G)";WCDMA;"Основная камера";"Фронтальная камера";Вспышка;Bluetooth;GPS;A-GPS;Wi-Fi;"ИК порт";Разъемы;Аккумулятор;Размеры;Цвет;"Wi-Fi Hotspot";"Сканер отпечатков пальцев";"3G (UMTS)";Возраст;Пол;Комплектация;Материал;"Размеры упаковки";"Размер игрушки";"Страна производитель";"Тепловая мощность";"Максимальная температура теплоносителя";"Максимальное рабочее давление";"Конструкция радиатора";"Способ подключения";"Кол-во секций в радиаторе";"Объем воды в радиаторе";"Опрессовочное давление";"Способ установки";"Номинальный объем водонагревателя";"Положение установки";Форма;"Мощность ТЭНа";Гарантия;"Тип нагревательного элемента (ТЭНа)";Мощность;"Отвод газов";"Тип розжига";Производительность;"Производительность ГВС";"Модуляция мощности";"Вес (кг)";"Объем (м3)";"Габариты В.Ш.Г. (мм.)";"Мин. давление газа";Страна;"Вид мяса";Производитель;"Количество мест";"Высота сиденья";Водонепронецаемый;Автор;Язык;"Оригинальное название";Обложка;Страниц;Иллюстрации;"Год издания";Рубрика;"тип товара";"диаметр колеса";"длина хода вилки";вилка;"материал рамы";"задний переключатель";"тип заднего амортизатора";"тип тормозов";"Операционная сиситема";Память;Дисплей;Клавиатура;"Параметры сканера";"Тип штрих-кодов";PTT;Датчик;Пылевлагозащита;Ударопрочность;"Рабочая температура";"Габариты (мм)";"Ширина бумаги";"Тип корма";"Назначение корма";Порода;"Класс корма";Монтаж;Дверцы;Габариты
"Товары для спорта";Haibike;"Велотренажер HouseFit";;uu65222;2389.00;2780.00;2;;;;1;;"Велотренажер HouseFit";"Велотренажер HouseFit, Haibike, Товары для спорта";"Велотренажер HSF 8012. Механическая бесступенчатая регулируемая система нагрузки. Корпус с полированным лакокрасочным покрытием. Очень легкая и компактная конструкция. Регулируемое по высоте сиденье. Ножки с регулировкой для неровного пола. Компьютер: функции &ndash; скорость, потраченные калории, время, расстояние. В наличии цвета: оранжевый, синий.";"<ul><li>Страна: <strong>США</strong></li><li>Питание:<strong> батарея</strong></li><li>Тип: <strong>классика</strong></li></ul>";"<p><span style=""color: #666666; font-family: 'Open Sans', sans-serif; font-size: 12px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Велотренажер HSF 8012. Механическая бесступенчатая регулируемая система нагрузки. Корпус с полированным лакокрасочным покрытием. Очень легкая и компактная конструкция. Регулируемое по высоте сиденье. Ножки с регулировкой для неровного пола. Компьютер: функции &ndash; скорость, потраченные калории, время, расстояние. В наличии цвета: оранжевый, синий.</span></p>";"okay_sport7.jpg, okay_sport8.jpg, okay_sport9.jpg";velotrenazher-housefit;13.5кг.,,136.5кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велотренажер;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Гантели Lifemaxx 8 кг";;sd6784;1945.00;;2;;;;1;;"Гантели Lifemaxx 8 кг";"Гантели Lifemaxx 8 кг, Haibike, Товары для спорта";"Гантели &ndash; широко известный универсальный снаряд с давней историей. Предназначена она для увеличения мышечной массы и выполнения силовых упражнений. Тренировки с гирей позволяют накачать бицепс, трицепс, мышцы спины, брюшного пресса, ягодичные мышцы. Имея дома один такой универсальный снаряд, вы можете обеспечить себя полноценной физической нагрузкой. Преимущество резиновых гирь с хромированной ручкой - нет необходимости оборудования страховочной поверхности на полу. Гири в резиновой оболочке прекрасно";;"<p><span style=""color: #666666; font-family: 'Open Sans', sans-serif; font-size: 12px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Гантели &ndash; широко известный универсальный снаряд с давней историей. Предназначена она для увеличения мышечной массы и выполнения силовых упражнений. Тренировки с гирей позволяют накачать бицепс, трицепс, мышцы спины, брюшного пресса, ягодичные мышцы. Имея дома один такой универсальный снаряд, вы можете обеспечить себя полноценной физической нагрузкой. Преимущество резиновых гирь с хромированной ручкой - нет необходимости оборудования страховочной поверхности на полу. Гири в резиновой оболочке прекрасно подходят для занятий как в спортивном зале, так и дома. Выбирать гирю необходимо в соответствии со своей физической формой и весом.</span></p>";"okay_sport8.jpg, okay_sport9.jpg, okay_sport12.jpg";ganteli-lifemaxx-8-kg;"8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Гантели;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Гиря Hop-Sport 6 кг";;HD902;670.00;790.00;2;;;;1;;"Гиря Hop-Sport 6 кг";"Гиря Hop-Sport 6 кг, Haibike, Товары для спорта";"Физические нагрузки, которые вы получите с помощью гирь, наиболее оптимальны для вашего организма. Гири спроектированы специальным образом, имеют удобную ручку для хвата. Характеристики: обхват &ndash; 50 см; объем ручки &ndash; 10 см; покрытие &ndash; винил; наполнение &ndash; бетон. Также занятия с гирями доставят удовольствие женщинам, так как помогут сбросить вес и обрести подтянутую фигуру.";;"<p><span style=""color: #666666; font-family: 'Open Sans', sans-serif; font-size: 12px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Физические нагрузки, которые вы получите с помощью гирь, наиболее оптимальны для вашего организма. Гири спроектированы специальным образом, имеют удобную ручку для хвата. Характеристики: обхват &ndash; 50 см; объем ручки &ndash; 10 см; покрытие &ndash; винил; наполнение &ndash; бетон. Также занятия с гирями доставят удовольствие женщинам, так как помогут сбросить вес и обрести подтянутую фигуру.</span></p>";"okay_sport12.jpg, okay_sport7.jpg, okay_sport8.jpg, okay_sport9.jpg, okay_sport10.jpg, okay_sport11.jpg";girya-hop-sport-6-kg;"6 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Гиря;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Велообувь Shimano SH-RP501 Men";;;9480.00;;2;;;;1;;"Велообувь Shimano SH-RP501 Men";"Велообувь Shimano SH-RP501 Men, Haibike, Товары для спорта";;;;"okay_sport3.png, okay_sport1.png, okay_sport2.png, okay_sport4.png";veloobuv-shimano-sh-rp501-men;"332 г";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велообувь;;;нет;;;;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Велоперчатка BBB BBW-54 LiteZone";;awe352;2290.00;;2;;;;1;;"Велоперчатка BBB BBW-54 LiteZone";"Велоперчатка BBB BBW-54 LiteZone, Haibike, Товары для спорта";"Вентилируемая перчатка из практичных материалов. Велоперчатки LiteZone BBW-54 обеспечивают надежный крепкий хват во время велопрогулки и тренировки. Надежное удержание руля повышает уверенность велосипедиста на дороге. Ладонь дополнена силиконовыми вставками, большой и указательный пальцы дополнительно защищены. Руки в перчатках хорошо вентилируются.";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Вентилируемая перчатка из практичных материалов. Велоперчатки LiteZone BBW-54 обеспечивают надежный крепкий хват во время велопрогулки и тренировки. Надежное удержание руля повышает уверенность велосипедиста на дороге. Ладонь дополнена силиконовыми вставками, большой и указательный пальцы дополнительно защищены. Руки в перчатках хорошо вентилируются.</span></p>";"okay_sport4.png, okay_sport1.png, okay_sport2.png, okay_sport3.png";veloperchatka-bbb-bbw-54-litezone;"149 г";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велоперчатка;нет;нет;нет;;;;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Велошлем Scott Arx";Белый;qw5934;7600.00;7800.00;2;;;;1;;"Велошлем Scott Arx";"Велошлем Scott Arx, Haibike, Товары для спорта";"Велошлем с усиленной защитой и системой подгонки MRAS2. Scott ARX &ndash; велосипедный шлем с технологией in-mold: при падении шлем не раскалывается, а сохраняет цельность. Плотно облегает, хорошо защищает голову. Крупные отверстия создают равномерную вентиляцию кожи во время поездки. Легкий (240 г), прочный шлем подходит для гонок и тренировок. Система подгонки позволяет одной рукой с помощью небольшого колесика отрегулировать посадку, не прерывая движение.";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Велошлем с усиленной защитой и системой подгонки MRAS2. Scott ARX &ndash; велосипедный шлем с технологией in-mold: при падении шлем не раскалывается, а сохраняет цельность. Плотно облегает, хорошо защищает голову. Крупные отверстия создают равномерную вентиляцию кожи во время поездки. Легкий (240 г), прочный шлем подходит для гонок и тренировок. Система подгонки позволяет одной рукой с помощью небольшого колесика отрегулировать посадку, не прерывая движение.</span></p>";"okay_sport2.png, okay_sport1.png, okay_sport3.png, okay_sport4.png";veloshlem-scott-arx;"нет,,793 г";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велошлем;нет;нет;нет;нет;нет;нет;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Велошлем Scott Arx";Красный;qw735h64;7.00;;2;;;;1;;"Велошлем Scott Arx";"Велошлем Scott Arx, Haibike, Товары для спорта";"Велошлем с усиленной защитой и системой подгонки MRAS2. Scott ARX &ndash; велосипедный шлем с технологией in-mold: при падении шлем не раскалывается, а сохраняет цельность. Плотно облегает, хорошо защищает голову. Крупные отверстия создают равномерную вентиляцию кожи во время поездки. Легкий (240 г), прочный шлем подходит для гонок и тренировок. Система подгонки позволяет одной рукой с помощью небольшого колесика отрегулировать посадку, не прерывая движение.";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Велошлем с усиленной защитой и системой подгонки MRAS2. Scott ARX &ndash; велосипедный шлем с технологией in-mold: при падении шлем не раскалывается, а сохраняет цельность. Плотно облегает, хорошо защищает голову. Крупные отверстия создают равномерную вентиляцию кожи во время поездки. Легкий (240 г), прочный шлем подходит для гонок и тренировок. Система подгонки позволяет одной рукой с помощью небольшого колесика отрегулировать посадку, не прерывая движение.</span></p>";"okay_sport2.png, okay_sport1.png, okay_sport3.png, okay_sport4.png";veloshlem-scott-arx;"нет,,793 г";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велошлем;нет;нет;нет;нет;нет;нет;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2018";"16 дюймов  — 155-166 см";er45373;389000.00;;2;;;;1;0;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2018";"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2018, Haibike, Товары для спорта";"Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторам";"<ul><li>Тип: <strong>горный</strong></li><li>Диаметр: <strong>25.5 дюйма</strong></li><li>Вес: <strong>25.8 кг</strong></li></ul>";"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторами, которые позволят настроить байк под любую трассу. За переключение передач отвечает оборудование Sram NX Eagle.</span></p>";"okay_sport1.png, okay_sport6.jpg, okay_sport2.png, okay_sport3.png, okay_sport4.png";elektrovelosiped-haibike-sduro-fullseven-90-i500wh-12-g-nx-2018;"25.8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велосипед;"25.5 дюйма";"от 130 до 150 мм";"RockShox Revelation RC Lockout. air. Travel: 120mm. aluminium steerer tube 1 18 - 1 12 tapered. thru-axle Boost";"Shimano Tourney RD-TY21B";"Sram NX Eagle. 12 speed";;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"16 дюймов  — 155-166 см";er45373;469000.00;;2;;;;1;1;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019, Haibike, Товары для спорта";"Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторам";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторами, которые позволят настроить байк под любую трассу. За переключение передач отвечает оборудование Sram NX Eagle.</span></p>";"okay_sport6.jpg, okay_sport1.png, okay_sport2.png, okay_sport3.png, okay_sport4.png";elektrovelosiped-haibike-sduro-fullseven-90-i500wh-12-g-nx-2019;"25.8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велосипед;"25.5 дюйма";"от 130 до 150 мм";"RockShox Revelation RC Lockout. air. Travel: 120mm. aluminium steerer tube 1 18 - 1 12 tapered. thru-axle Boost";"Shimano Tourney RD-TY21B";"Sram NX Eagle. 12 speed";;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"18 дюймов  — 165-180 см";er453753;479000.00;;2;;;;1;1;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019, Haibike, Товары для спорта";"Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторам";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторами, которые позволят настроить байк под любую трассу. За переключение передач отвечает оборудование Sram NX Eagle.</span></p>";"okay_sport6.jpg, okay_sport1.png, okay_sport2.png, okay_sport3.png, okay_sport4.png";elektrovelosiped-haibike-sduro-fullseven-90-i500wh-12-g-nx-2019;"25.8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велосипед;"25.5 дюйма";"от 130 до 150 мм";"RockShox Revelation RC Lockout. air. Travel: 120mm. aluminium steerer tube 1 18 - 1 12 tapered. thru-axle Boost";"Shimano Tourney RD-TY21B";"Sram NX Eagle. 12 speed";;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"20 дюймов  — 175-190 см";er456;469000.00;489000.00;2;;;;1;1;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019, Haibike, Товары для спорта";"Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторам";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторами, которые позволят настроить байк под любую трассу. За переключение передач отвечает оборудование Sram NX Eagle.</span></p>";"okay_sport6.jpg, okay_sport1.png, okay_sport2.png, okay_sport3.png, okay_sport4.png";elektrovelosiped-haibike-sduro-fullseven-90-i500wh-12-g-nx-2019;"25.8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велосипед;"25.5 дюйма";"от 130 до 150 мм";"RockShox Revelation RC Lockout. air. Travel: 120mm. aluminium steerer tube 1 18 - 1 12 tapered. thru-axle Boost";"Shimano Tourney RD-TY21B";"Sram NX Eagle. 12 speed";;;;;;;;;;;;;;;;;;;;;;
"Товары для спорта";Haibike;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"22 дюйма  — 187-200 см";er45354;499000.00;;2;;;;1;1;"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019";"Электровелосипед Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019, Haibike, Товары для спорта";"Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторам";;"<p><span style=""color: #333333; font-family: 'Open Sans', Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Модель Haibike SDURO FullSeven 9.0 i500Wh 12-G NX 2019 предназначена как для агрессивного катания по лесным трассам, так и для неторопливых прогулок по живописным маршрутам. Основная особенность модели - мощный электромотор, который поможет без труда заехать в сложный подъем или преодолеть длительный трансфер от одной трассы к другой. Рама велосипед изготовлена из алюминиевого сплава с применением технологии гидроформинга, что позволило сделать велосипед легким и прочным. Модель оснащена двумя амортизаторами, которые позволят настроить байк под любую трассу. За переключение передач отвечает оборудование Sram NX Eagle.</span></p>";"okay_sport6.jpg, okay_sport1.png, okay_sport2.png, okay_sport3.png, okay_sport4.png";elektrovelosiped-haibike-sduro-fullseven-90-i500wh-12-g-nx-2019;"25.8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Велосипед;"25.5 дюйма";"от 130 до 150 мм";"RockShox Revelation RC Lockout. air. Travel: 120mm. aluminium steerer tube 1 18 - 1 12 tapered. thru-axle Boost";"Shimano Tourney RD-TY21B";"Sram NX Eagle. 12 speed";;;;;;;;;;;;;;;;;;;;;;
